,Channel,Surevy year,Degree,Degree year,Nationality,Career (Aspiration or current),Crypto type,Crypto usage purpose,Crypto knowledge,Crypto usage duration (years),Trade performance,Remittance amount (%),Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
13225,online,2020,Business,3rd,Europe,Technology,"ETH,NFT,ALT","remittance,trans",++,1,,100,study/research,Y,Y
13226,online,2022,STEM,MSc,Europe,Finance,"NFT,ALT",trade,++,1,--,,family,N,Y
13227,online,2020,Humanities,3rd,India,Legal,"ETH,DOGE",trade,+,1,--,,friends,Y,N
13228,online,2020,STEM,3rd,India,Retail,ALT,"remittance,trans",++,1-3,,75,study/research,N,Y
13229,online,2024,Business,1st,USA,Public,ETH,"remittance,trans",++,1,,25,marketing,N,N
13230,f2f,2020,Business,PhD,Europe,Finance,BTC,trade,+++,1-3,,,friends,Y,Y
13231,online,2021,STEM,MSc,South America,Technology,BTC,"trade,remittance",+,1,,25,family,Y,N
13232,online,2021,Humanities,2nd,Africa,Retail,"BTC,ALT",trade,+,1-3,++,,marketing,Y,N
13233,online,2022,STEM,2nd,India,Engineering,BTC,"trade,remittance,trans",+++,4-5,+++,50,study/research,Y,N
13234,online,2024,Business,2nd,ME,Finance,DOGE,trade,++,1,++,,marketing,N,Y
13235,online,2023,Business,MSc,India,Technology,"BTC,ETH,ALT","remittance,trans",++,1,,75,study/research,Y,N
13236,online,2020,Business,MSc,Turkey,Technology,BTC,"trade,remittance",+++,,+,75,friends,Y,Y
13237,f2f,2023,Business,3rd,India,Legal,"ETH,ALT","remittance,trans",+++,11,,25,study/research,Y,Y
13238,online,2022,Business,3rd,Turkey,Finance,"BTC,ETH,ALT",trade,+,1,--,,marketing,N,N
13239,online,2021,STEM,2nd,ME,Medical,BTC,remittance,+++,1,,75,study/research,Y,Y
13240,online,2022,Humanities,1st,China,Finance,BTC,"remittance,trans",+++,1,,75,study/research,Y,Y
13241,online,2024,STEM,MSc,China,Technology,ETH,"trade,remittance",+++,1,,,marketing,Y,Y
13242,f2f,2023,STEM,2nd,China,Engineering,"BTC,ETH","trade,remittance,trans",++,1-3,+++,,family,Y,N
13243,online,2021,STEM,2nd,Africa,Medical,,trade,++,1,-,,marketing,N,N
13244,online,2020,Business,1st,Turkey,Engineering,"BTC,ETH,ALT",remittance,+++,4-5,,100,friends,Y,Y
13245,online,2024,STEM,PhD,South America,Engineering,"BTC,ETH",remittance,++,11-3,,50,friends,N,Y
13246,online,2024,Humanities,MSc,ME,Finance,ETH,remittance,+,1-3,,100,marketing,N,N
13247,f2f,2024,Humanities,3rd,USA,,"BTC,ALT",remittance,+,,,100,friends,Y,Y
13248,online,2021,STEM,PhD,Africa,Finance,"ETH,NFT,ALT",trade,+++,1-3,-,,friends,Y,Y
13249,f2f,2023,Business,Phd,India,Technology,"BTC,ETH","remittance,trans",++,5+,,25,friends,Y,Y
13250,online,2020,Business,1st,South America,Finance,ALT,"remittance,trans",+++,5+,,100,study/research,N,Y
13251,f2f,2024,Humanities,1st,Turkey,Finance,ETH,remittance,+++,1-3,,100,study/research,Y,Y
13252,online,2023,Business,PhD,ME,Finance,"BTC,ETH",trade,+++,1,+,,friends,N,N
13253,f2f,2021,Business,PhD,Turkey,Technology,"BTC,ALT","remittance,trans",++,11,,50,study/research,N,Y
13254,online,2021,STEM,PhD,Europe,Technology,"BTC,ETH","trade,remittance,trans",,,--,25,marketing,N,Y
13255,online,2022,Business,3rd,USA,Technology,ALT,"remittance,trans",+++,,,50,study/research,Y,Y
13256,online,2024,Business,1st,South America,Technology,"BTC,ALT","remittance,trans",++,,,50,friends,Y,Y
13257,online,2022,STEM,1st,Turkey,Medical,"BTC,DOGE",remittance,+++,11-3,,100,friends,Y,Y
13258,online,2022,Business,3rd,South America,Finance,"BTC,ALT","remittance,trans",+++,,,50,family,Y,Y
13259,f2f,2020,Business,3rd,Turkey,Technology,BTC,remittance,+,1,,75,friends,N,Y
13260,f2f,2021,Business,MSc,Europe,Technology,BTC,"trade,remittance",+++,5+,-,25,marketing,Y,Y
13261,online,2021,STEM,MSc,India,Medical,"BTC,ETH","trade,remittance",++,,+++,50,friends,Y,Y
13262,f2f,2023,Humanities,3rd,Turkey,,ETH,remittance,++,11-3,,75,marketing,Y,Y
13263,online,2022,Humanities,1st,South America,Finance,"BTC,ETH",remittance,++,,,100,friends,Y,Y
13264,f2f,2023,Business,MSc,Europe,Technology,DOGE,trade,+++,4-5,--,,study/research,Y,Y
13265,online,2021,STEM,PhD,UK,Engineering,"ETH,NFT,ALT",trade,+++,1,,,friends,Y,Y
13266,online,2021,STEM,MSc,ME,Engineering,,"trade,remittance",+++,1,,25,family,Y,N
13267,f2f,2023,STEM,MSc,Turkey,Finance,"BTC,ETH",trade,+++,1-3,--,,study/research,Y,Y
13268,online,2022,STEM,PhD,Africa,Medical,"ETH,ALT",remittance,+,1-3,,50,friends,Y,Y
13269,online,2022,STEM,3rd,China,Public,ALT,"remittance,trans",+++,4-5,,75,friends,N,Y
13270,f2f,2024,STEM,2nd,Africa,Medical,BTC,remittance,++,1-3,,25,friends,Y,Y
13271,f2f,2021,STEM,MSc,China,Legal,"NFT,ALT",trade,+,1-3,-,,study/research,Y,N
13272,f2f,2023,STEM,3rd,Turkey,Engineering,BTC,remittance,++,1-3,,50,family,N,Y
13273,online,2021,STEM,PhD,China,Technology,"BTC,ETH","trade,remittance",++,1,,50,friends,N,N
13274,online,2020,Business,MSc,Europe,Engineering,DOGE,trade,+++,5+,,,study/research,Y,Y
13275,online,2022,Business,MSc,India,Technology,BTC,"trade,remittance,trans",+++,1-3,,100,marketing,Y,Y
13276,online,2022,STEM,2nd,Turkey,,"BTC,ETH,ALT",remittance,++,11-3,,50,friends,N,Y
13277,online,2022,Humanities,MSc,Africa,Legal,BTC,trade,++,1,-,,friends,Y,Y
13278,online,2024,STEM,3rd,UK,Engineering,"BTC,ETH",trade,+++,5+,--,,friends,Y,Y
13279,online,2024,Business,1st,Turkey,Engineering,ALT,"remittance,trans",++,1-3,,25,friends,Y,N
13280,f2f,2021,STEM,PhD,Africa,Finance,"BTC,NFT,DOGE",trade,++,1,--,,family,Y,Y
13281,online,2021,Business,1st,Turkey,Technology,"BTC,ALT","remittance,trans",+++,4-5,,75,friends,Y,N
13282,online,2021,Business,MSc,USA,Medical,"NFT,ALT",remittance,+++,1,,25,friends,Y,N
13283,f2f,2020,STEM,3rd,Africa,Medical,"ETH,ALT",trade,++,1-3,+,,marketing,N,Y
13284,online,2022,Business,2nd,China,Medical,"ETH,ALT",remittance,+++,1,,100,friends,Y,Y
13285,online,2020,STEM,2nd,Turkey,Finance,"BTC,ETH",remittance,+++,1,,50,study/research,N,Y
13286,online,2020,STEM,MSc,Turkey,Medical,NFT,"trade,remittance",+++,1,-,100,family,Y,Y
13287,online,2020,Humanities,1st,Africa,Medical,BTC,remittance,++,4-5,,75,friends,Y,Y
13288,online,2021,STEM,MSc,Turkey,Finance,"BTC,NFT","trade,remittance",+++,1,-,50,family,Y,N
13289,online,2022,Humanities,3rd,Turkey,Finance,BTC,remittance,+,1-3,,75,friends,N,N
13290,f2f,2022,Business,PhD,Turkey,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,-,50,study/research,N,N
13291,online,2023,STEM,PhD,Turkey,Engineering,"BTC,ETH",remittance,+++,1,,75,friends,Y,Y
13292,online,2021,STEM,MSc,Africa,,ETH,trade,+,5+,--,,marketing,Y,Y
13293,online,2024,Humanities,PhD,South America,Technology,ALT,"remittance,trans",++,,,75,study/research,Y,Y
13294,f2f,2020,Business,1st,USA,Retail,"ETH,NFT,ALT",trade,+,1,,,friends,N,N
13295,online,2021,STEM,MSc,ME,Technology,ETH,"trade,remittance",+,5+,++,50,family,Y,Y
13296,online,2024,Business,Phd,Turkey,Finance,,"remittance,trans",+++,5+,,25,friends,Y,N
13297,f2f,2024,STEM,PhD,Europe,Finance,BTC,trade,+++,1-3,--,,study/research,Y,Y
13298,online,2021,STEM,PhD,South America,Medical,BTC,"trade,remittance",+++,1,,,marketing,Y,Y
13299,f2f,2020,STEM,MSc,China,Technology,"BTC,ETH","remittance,trans",+++,1,,100,study/research,N,Y
13300,online,2023,Business,3rd,South America,Public,"BTC,ETH","remittance,trans",++,1,,25,family,Y,Y
13301,f2f,2022,STEM,PhD,China,Engineering,BTC,"trade,remittance",+,1-3,,25,family,Y,Y
13302,online,2020,STEM,2nd,Africa,Finance,,trade,+,1-3,--,,family,N,N
13303,online,2023,STEM,MSc,Turkey,Technology,,"trade,remittance",++,4-5,++,,friends,Y,Y
13304,online,2022,Business,3rd,India,Engineering,,"remittance,trans",++,5+,,50,study/research,Y,Y
13305,online,2021,STEM,PhD,Europe,Technology,ETH,"trade,remittance",+++,1-3,-,25,marketing,Y,Y
13306,f2f,2021,STEM,PhD,UK,Engineering,"ETH,NFT,ALT",trade,+++,,-,,study/research,Y,Y
13307,online,2023,Business,MSc,Europe,Finance,"BTC,ALT","remittance,trans",++,1-3,,25,study/research,Y,Y
13308,online,2021,STEM,MSc,Africa,Engineering,ETH,"trade,remittance",+,1,++,,friends,Y,N
13309,online,2024,Business,3rd,Turkey,Technology,"BTC,ETH","remittance,trans",++,1-3,,25,marketing,Y,Y
13310,online,2021,Business,MSc,USA,Retail,BTC,"remittance,trans",++,5+,,50,marketing,Y,N
13311,f2f,2023,Business,PhD,Europe,Finance,BTC,trade,+++,4-5,+,,study/research,Y,Y
13312,online,2023,Humanities,MSc,Africa,Retail,ETH,trade,++,4-5,,,friends,Y,N
13313,online,2020,STEM,MSc,Europe,Medical,"BTC,ETH",trade,++,1,--,,study/research,N,Y
13314,online,2024,STEM,MSc,India,Public,"BTC,DOGE","remittance,trans",+++,1-3,,75,marketing,Y,N
13315,f2f,2020,Business,3rd,USA,Technology,ETH,"trade,remittance,trans",++,1-3,--,,marketing,N,N
13316,online,2020,Humanities,2nd,Africa,,BTC,trade,+++,1,++,,marketing,N,Y
13317,online,2020,Humanities,1st,Europe,Engineering,"BTC,ALT",remittance,+++,1,,25,marketing,N,N
13318,online,2022,STEM,PhD,ME,Finance,ETH,remittance,++,11-3,,75,family,Y,N
13319,online,2020,STEM,PhD,Africa,,"BTC,ETH",trade,+,1,--,,marketing,Y,Y
13320,online,2023,Humanities,PhD,UK,Medical,DOGE,trade,+,1-3,,,marketing,Y,N
13321,online,2023,Humanities,PhD,Africa,Medical,"BTC,ETH",remittance,+++,,,75,friends,Y,N
13322,online,2024,Business,Phd,South America,Finance,"BTC,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
13323,online,2024,Humanities,3rd,Africa,Retail,"ETH,DOGE",trade,+,1,--,,friends,N,Y
13324,f2f,2021,Humanities,3rd,South America,Technology,BTC,"remittance,trans",++,,,25,study/research,Y,Y
13325,f2f,2023,Business,PhD,Turkey,Engineering,BTC,"remittance,trans",++,1,,25,friends,N,Y
13326,f2f,2024,Business,PhD,Turkey,Engineering,BTC,"trade,remittance,trans",+++,4-5,+,,family,Y,Y
13327,online,2021,STEM,MSc,ME,Medical,NFT,"trade,remittance",++,,,25,friends,N,N
13328,online,2024,Humanities,Phd,Turkey,Legal,"BTC,NFT","remittance,trans",+++,5+,,100,study/research,Y,Y
13329,f2f,2022,STEM,MSc,Turkey,Medical,"ETH,ALT","remittance,trans",++,1,,100,study/research,N,Y
13330,online,2021,STEM,PhD,USA,Technology,ETH,"trade,remittance",+,1-3,+,25,marketing,Y,Y
13331,online,2022,STEM,MSc,Europe,Technology,BTC,"trade,remittance",++,4-5,-,100,family,Y,Y
13332,online,2024,Humanities,2nd,ME,Finance,"BTC,ETH",remittance,++,,,50,friends,Y,Y
13333,online,2021,STEM,MSc,China,Retail,"BTC,ETH","trade,remittance",+++,4-5,-,,study/research,Y,N
13334,online,2020,STEM,2nd,Africa,Retail,"BTC,NFT,ALT",trade,++,1-3,++,,marketing,Y,Y
13335,f2f,2023,STEM,PhD,Turkey,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,-,50,friends,Y,Y
13336,f2f,2021,STEM,2nd,Europe,Legal,BTC,remittance,+++,5+,,25,family,N,N
13337,online,2022,Humanities,3rd,India,Finance,"BTC,ETH",remittance,++,,,75,friends,Y,Y
13338,online,2022,STEM,MSc,South America,Technology,BTC,"trade,remittance,trans",+++,,++,50,family,Y,Y
13339,online,2024,STEM,3rd,ME,Finance,"BTC,ETH",remittance,+,4-5,,50,family,Y,Y
13340,online,2023,STEM,MSc,ME,Engineering,ETH,remittance,++,4-5,,25,family,Y,Y
13341,online,2023,STEM,PhD,Africa,Retail,BTC,"trade,remittance",+,,+++,25,family,Y,Y
13342,f2f,2021,STEM,PhD,UK,Finance,NFT,trade,+++,1-3,+,,study/research,N,Y
13343,f2f,2022,STEM,3rd,Turkey,Engineering,ETH,remittance,+,1,,75,friends,Y,Y
13344,online,2021,STEM,MSc,Europe,Engineering,,trade,++,5+,,,study/research,N,Y
13345,online,2020,Business,PhD,India,Finance,"BTC,ALT","remittance,trans",++,4-5,,25,marketing,Y,Y
13346,online,2023,Business,PhD,Africa,Technology,BTC,"trade,remittance,trans",++,1-3,++,,friends,Y,N
13347,online,2023,Humanities,1st,Europe,Finance,ETH,trade,++,1,--,,friends,N,N
13348,online,2020,Business,Phd,Turkey,Finance,"ETH,ALT","remittance,trans",+++,11,,50,study/research,Y,Y
13349,online,2024,Business,PhD,South America,,"BTC,ETH",remittance,+,11-3,,75,marketing,Y,Y
13350,online,2021,Humanities,PhD,USA,Medical,"NFT,ALT",trade,+++,1,+,,friends,N,N
13351,f2f,2023,STEM,MSc,Europe,Engineering,"ETH,ALT",trade,+++,4-5,++,,study/research,Y,Y
13352,online,2020,Business,2nd,USA,Finance,"BTC,ETH","trade,remittance,trans",+++,,++,100,study/research,Y,Y
13353,online,2023,Business,3rd,Europe,Technology,"BTC,NFT",remittance,+,1-3,,25,marketing,Y,Y
13354,f2f,2020,STEM,2nd,Africa,,BTC,trade,++,1-3,+,,marketing,N,Y
13355,f2f,2022,Humanities,1st,South America,Finance,"ETH,NFT,ALT","remittance,trans",++,1,,25,study/research,Y,Y
13356,f2f,2020,Business,MSc,Europe,Retail,BTC,remittance,+++,1,,100,family,N,Y
13357,f2f,2021,STEM,2nd,Africa,,"BTC,ETH",trade,+,5+,+,,marketing,Y,Y
13358,online,2022,Business,MSc,USA,Medical,"BTC,NFT,DOGE",trade,+++,1,--,,marketing,Y,N
13359,f2f,2023,Business,PhD,UK,Engineering,NFT,trade,++,4-5,++,,friends,N,Y
13360,online,2021,STEM,PhD,Europe,Engineering,ETH,trade,++,4-5,,,study/research,Y,N
13361,online,2024,Business,Phd,South America,Finance,"ETH,ALT","remittance,trans",++,11,,100,family,Y,Y
13362,online,2021,STEM,PhD,India,Finance,ETH,"remittance,trans",++,1,,100,study/research,Y,Y
13363,online,2023,Humanities,1st,South America,Legal,DOGE,trade,+,1,--,,friends,Y,N
13364,online,2024,Business,3rd,Turkey,Technology,"NFT,ALT","remittance,trans",++,1,,75,study/research,Y,Y
13365,online,2022,STEM,MSc,Turkey,Technology,BTC,"trade,remittance",+++,1-3,++,100,marketing,Y,N
13366,online,2021,STEM,MSc,Turkey,Medical,BTC,"trade,remittance",++,,+++,75,marketing,Y,Y
13367,online,2022,Humanities,MSc,ME,Technology,"BTC,ETH",remittance,++,,,75,study/research,Y,Y
13368,online,2020,Humanities,3rd,South America,Technology,ETH,"remittance,trans",+++,4-5,,50,study/research,Y,Y
13369,online,2020,STEM,PhD,Turkey,Finance,"BTC,ETH","trade,remittance,trans",+++,,,25,study/research,Y,Y
13370,online,2022,Business,MSc,USA,Technology,BTC,"remittance,trans",++,1-3,,100,marketing,Y,Y
13371,online,2020,STEM,3rd,China,Finance,"ETH,NFT,ALT",remittance,++,,,50,study/research,Y,Y
13372,online,2021,STEM,MSc,India,Technology,"BTC,ETH","trade,remittance",+,5+,++,75,family,Y,N
13373,online,2021,Humanities,PhD,South America,Retail,"BTC,NFT","remittance,trans",++,11,,50,study/research,Y,Y
13374,f2f,2024,STEM,PhD,UK,Engineering,"BTC,NFT,DOGE",trade,+++,5+,,,study/research,Y,Y
13375,online,2022,STEM,1st,Africa,Medical,"BTC,DOGE",remittance,++,1-3,,75,marketing,N,Y
13376,online,2023,STEM,PhD,Turkey,Retail,"BTC,NFT","trade,remittance",+++,,-,50,study/research,Y,Y
13377,online,2023,Business,MSc,Turkey,,BTC,"remittance,trans",+++,4-5,,25,study/research,Y,Y
13378,online,2021,STEM,3rd,UK,Finance,ETH,trade,+++,1-3,++,,study/research,N,Y
13379,online,2023,STEM,MSc,Africa,Finance,BTC,"trade,remittance",+++,5+,,25,marketing,Y,Y
13380,f2f,2023,STEM,MSc,Europe,Retail,BTC,trade,++,1-3,,,friends,N,Y
13381,f2f,2023,STEM,1st,China,Finance,ETH,remittance,+++,1,,75,family,Y,N
13382,f2f,2024,Business,PhD,South America,Technology,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
13383,f2f,2021,Business,MSc,UK,Finance,"NFT,ALT",trade,+++,1,++,,study/research,Y,N
13384,online,2023,Business,MSc,Turkey,Finance,BTC,"remittance,trans",+++,1,,50,study/research,Y,Y
13385,online,2023,STEM,2nd,Africa,Finance,"ETH,DOGE",trade,+++,5+,--,,study/research,Y,N
13386,online,2022,STEM,2nd,ME,Engineering,BTC,remittance,++,4-5,,50,friends,N,Y
13387,online,2021,STEM,MSc,India,Technology,BTC,"trade,remittance",+,5+,+,25,family,Y,N
13388,f2f,2023,Business,MSc,India,Engineering,ALT,"remittance,trans",+++,4-5,,50,study/research,N,Y
13389,online,2020,Humanities,3rd,Turkey,Legal,"BTC,ALT",remittance,++,,,25,marketing,N,N
13390,online,2021,Humanities,3rd,Turkey,Engineering,ETH,"remittance,trans",+++,4-5,,25,marketing,Y,N
13391,f2f,2022,Business,PhD,USA,Finance,BTC,remittance,+++,1-3,,75,marketing,N,Y
13392,f2f,2022,Business,PhD,Turkey,Medical,"BTC,ALT","remittance,trans",+++,,,50,family,Y,Y
13393,online,2023,Humanities,3rd,India,Finance,"BTC,ETH","remittance,trans",++,5+,,50,family,Y,Y
13394,f2f,2023,STEM,MSc,China,Medical,"BTC,ETH","trade,remittance",+++,5+,--,,marketing,Y,Y
13395,online,2023,STEM,2nd,China,Engineering,BTC,"trade,remittance,trans",,1-3,++,50,family,Y,Y
13396,online,2024,Business,PhD,South America,Technology,"BTC,NFT","trade,remittance,trans",+++,1-3,+,25,marketing,Y,Y
13397,online,2023,Business,MSc,Africa,Technology,"BTC,ETH","trade,remittance",,1,-,100,family,N,Y
13398,online,2023,STEM,3rd,India,,"ETH,DOGE","remittance,trans",++,4-5,,25,marketing,Y,Y
13399,online,2020,Business,PhD,USA,Technology,ALT,"remittance,trans",+++,1,,25,study/research,Y,Y
13400,online,2022,Business,PhD,China,Medical,BTC,remittance,++,1-3,,50,friends,N,N
13401,online,2021,STEM,MSc,ME,,DOGE,trade,+,1,--,,family,Y,N
13402,online,2021,STEM,3rd,Turkey,Engineering,"NFT,ALT",remittance,+,4-5,,75,friends,Y,Y
13403,online,2024,Business,3rd,USA,Technology,ALT,"remittance,trans",++,1,,100,family,Y,Y
13404,f2f,2021,Business,PhD,Europe,Technology,BTC,trade,+++,4-5,-,,study/research,Y,N
13405,f2f,2023,Business,3rd,Turkey,Retail,"BTC,ALT","remittance,trans",++,11,,75,family,Y,Y
13406,online,2024,Business,MSc,USA,Engineering,"BTC,ETH","trade,remittance,trans",+++,4-5,-,25,family,Y,Y
13407,f2f,2021,Business,MSc,USA,,"BTC,ALT","remittance,trans",+++,1-3,,50,study/research,Y,Y
13408,online,2020,Business,MSc,ME,Finance,BTC,trade,++,1-3,+,,marketing,N,N
13409,online,2024,Humanities,Phd,Europe,Finance,ALT,"remittance,trans",+++,4-5,,100,study/research,Y,Y
13410,online,2020,STEM,MSc,UK,Engineering,BTC,trade,+++,,,,study/research,Y,Y
13411,online,2024,Business,3rd,USA,Technology,"NFT,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
13412,f2f,2022,STEM,PhD,Turkey,Technology,"BTC,ETH","trade,remittance",+++,4-5,--,25,study/research,Y,N
13413,online,2020,Business,1st,India,Finance,ALT,"remittance,trans",+++,1,,100,study/research,Y,N
13414,online,2021,Humanities,3rd,Turkey,Retail,"BTC,NFT,DOGE",trade,+++,1,--,,study/research,Y,N
13415,f2f,2020,STEM,PhD,Turkey,Technology,NFT,"trade,remittance",,1,++,50,marketing,N,Y
13416,online,2021,STEM,MSc,ME,Medical,BTC,"trade,remittance",+++,5+,,,family,Y,Y
13417,online,2024,STEM,PhD,China,Finance,"BTC,ETH","trade,remittance",+++,4-5,-,25,study/research,Y,Y
13418,online,2020,STEM,PhD,USA,Medical,"BTC,ALT",remittance,++,4-5,,100,family,Y,Y
13419,f2f,2023,Business,2nd,China,Technology,"BTC,ETH","trade,remittance,trans",+++,4-5,--,,family,Y,N
13420,online,2023,STEM,MSc,Africa,Medical,NFT,trade,+,1,--,,study/research,Y,N
13421,online,2024,STEM,1st,USA,Finance,BTC,remittance,+++,,,50,marketing,Y,Y
13422,online,2022,STEM,2nd,Africa,Technology,"ETH,DOGE",remittance,++,1,,25,marketing,Y,Y
13423,online,2021,STEM,PhD,Turkey,Retail,,"trade,remittance,trans",+++,1-3,+,,marketing,Y,Y
13424,online,2024,Business,3rd,USA,Engineering,DOGE,"trade,remittance,trans",,,++,25,marketing,Y,Y
13425,f2f,2023,STEM,PhD,Europe,Finance,"BTC,ETH",trade,++,,-,,study/research,Y,Y
13426,online,2022,STEM,3rd,China,Finance,BTC,"remittance,trans",++,,,25,study/research,Y,Y
13427,f2f,2021,Business,2nd,South America,Legal,"BTC,NFT",remittance,+++,5+,,25,marketing,Y,Y
13428,f2f,2021,Business,MSc,Turkey,Engineering,"NFT,ALT",trade,+++,4-5,++,,study/research,N,Y
13429,f2f,2021,STEM,MSc,ME,Technology,"BTC,ETH","trade,remittance",,4-5,+++,75,study/research,Y,N
13430,online,2024,STEM,1st,USA,Technology,"BTC,ETH","remittance,trans",+++,11,,25,study/research,Y,Y
13431,online,2021,STEM,PhD,Europe,Finance,"BTC,ETH","trade,remittance",+++,1,+++,25,study/research,Y,Y
13432,online,2024,STEM,MSc,Africa,Technology,"BTC,NFT","trade,remittance",+++,1,-,25,marketing,Y,Y
13433,f2f,2024,Business,MSc,ME,Technology,ETH,"trade,remittance",+++,,+++,75,family,N,Y
13434,f2f,2022,STEM,MSc,Turkey,,"BTC,ALT",remittance,+++,1,,75,study/research,Y,N
13435,online,2023,Humanities,MSc,Turkey,Technology,"BTC,ALT","remittance,trans",+++,1-3,,50,study/research,Y,Y
13436,online,2024,Business,MSc,China,Medical,"BTC,ETH","trade,remittance",++,,--,,family,Y,N
13437,online,2024,STEM,3rd,ME,Finance,"BTC,ETH,ALT",remittance,+,11-3,,25,friends,Y,Y
13438,online,2023,Business,3rd,Turkey,,"ETH,DOGE","remittance,trans",++,,,25,marketing,Y,Y
13439,online,2023,Business,3rd,USA,Technology,"BTC,ALT","remittance,trans",+++,1,,25,family,Y,Y
13440,online,2021,STEM,MSc,China,Retail,BTC,"trade,remittance",,1,++,,family,N,Y
13441,f2f,2023,STEM,Phd,Turkey,,"NFT,ALT","remittance,trans",+++,5+,,25,study/research,Y,N
13442,online,2024,STEM,1st,India,Finance,"BTC,NFT","remittance,trans",++,1,,25,study/research,Y,Y
13443,f2f,2023,Business,3rd,Turkey,Finance,ETH,"remittance,trans",+++,1,,75,marketing,Y,Y
13444,online,2020,STEM,2nd,Africa,Engineering,BTC,remittance,+++,1-3,,75,family,Y,Y
13445,f2f,2024,STEM,1st,India,,"NFT,ALT",trade,+,1,+,,marketing,Y,Y
13446,f2f,2022,Humanities,PhD,ME,Technology,BTC,remittance,+,4-5,,50,friends,N,Y
13447,online,2020,STEM,1st,China,Engineering,BTC,remittance,+,1,,100,study/research,Y,Y
13448,online,2024,STEM,Phd,South America,Retail,ALT,"remittance,trans",+++,1,,50,family,Y,N
13449,f2f,2022,Business,Phd,Europe,Medical,"BTC,NFT","remittance,trans",++,1,,25,friends,Y,Y
13450,f2f,2022,STEM,PhD,South America,Medical,,remittance,+,1-3,,75,friends,Y,Y
13451,online,2020,STEM,Phd,China,Technology,ALT,"remittance,trans",++,4-5,,100,study/research,Y,Y
13452,online,2020,Humanities,MSc,USA,Engineering,"BTC,ALT",remittance,+,1,,25,marketing,N,N
13453,online,2024,Business,3rd,China,Engineering,BTC,"remittance,trans",++,4-5,,100,study/research,Y,N
13454,f2f,2023,Business,3rd,USA,Technology,ALT,"remittance,trans",++,4-5,,50,marketing,Y,Y
13455,online,2021,STEM,1st,India,Technology,"ETH,DOGE",remittance,+,,,75,study/research,Y,Y
13456,online,2023,Business,3rd,Africa,Engineering,,"trade,remittance,trans",,,,,family,Y,Y
13457,online,2024,Business,3rd,India,Technology,BTC,"remittance,trans",+++,5+,,75,study/research,Y,Y
13458,f2f,2021,STEM,Phd,South America,Finance,"BTC,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
13459,f2f,2023,STEM,MSc,Turkey,Technology,"BTC,ETH",trade,+++,4-5,+++,,study/research,N,Y
13460,online,2023,Business,MSc,Turkey,Technology,"BTC,ALT","remittance,trans",+++,1-3,,50,friends,Y,Y
13461,online,2021,Business,MSc,India,Retail,"BTC,DOGE",trade,+++,1,--,,marketing,Y,Y
13462,f2f,2021,Humanities,3rd,India,Medical,BTC,"remittance,trans",+++,1,,25,study/research,Y,Y
13463,online,2021,Business,3rd,China,Public,ALT,"remittance,trans",+++,,,50,study/research,Y,Y
13464,online,2020,STEM,MSc,Africa,Engineering,BTC,trade,+++,4-5,-,,friends,N,Y
13465,online,2024,Humanities,1st,USA,Engineering,"BTC,ETH","remittance,trans",++,1,,50,marketing,N,Y
13466,online,2024,Business,1st,South America,Public,ALT,"remittance,trans",+++,1,,25,study/research,Y,Y
13467,f2f,2020,Business,PhD,Africa,Technology,"BTC,ETH","trade,remittance,trans",+++,1-3,++,25,family,N,Y
13468,online,2022,STEM,2nd,Europe,,"ETH,NFT,ALT",trade,+,1,++,,friends,Y,Y
13469,online,2022,STEM,1st,China,Finance,"ETH,ALT",remittance,++,1,,50,family,Y,Y
13470,f2f,2023,Business,PhD,India,Engineering,DOGE,"trade,remittance,trans",+++,,-,75,family,Y,Y
13471,online,2023,STEM,3rd,Turkey,Medical,"BTC,NFT,DOGE",trade,+++,1,--,,marketing,N,N
13472,f2f,2023,Business,PhD,India,Technology,"BTC,ETH","trade,remittance",+,1,,50,friends,Y,N
13473,f2f,2021,STEM,PhD,Europe,Finance,BTC,trade,+++,1-3,++,,study/research,Y,Y
13474,f2f,2023,Business,1st,Europe,Retail,DOGE,trade,+++,1,--,,friends,N,N
13475,online,2022,STEM,MSc,Turkey,Medical,BTC,"trade,remittance",++,1,,25,study/research,N,Y
13476,online,2021,Business,PhD,ME,Finance,BTC,trade,+,1,,,family,N,Y
13477,online,2022,Business,3rd,South America,Technology,"NFT,ALT","remittance,trans",++,,,50,marketing,Y,Y
13478,online,2020,STEM,1st,Africa,Medical,"BTC,NFT,DOGE",trade,++,1,--,,friends,Y,Y
13479,online,2020,Business,3rd,USA,Legal,,remittance,+,1,,100,family,N,Y
13480,online,2020,Business,Phd,China,Finance,BTC,"remittance,trans",+++,5+,,75,study/research,N,Y
13481,online,2024,STEM,2nd,South America,Medical,"BTC,ETH",remittance,++,1,,50,friends,Y,Y
13482,online,2020,Humanities,2nd,China,Engineering,"ETH,NFT,ALT",remittance,++,11-3,,75,family,Y,Y
13483,online,2022,STEM,MSc,Europe,Medical,"BTC,ETH","trade,remittance",+,4-5,,25,family,Y,Y
